AHA_NAME,AHA_ID,ST_NAME,DIST_ID,DIST_NAME,RANK,TOTAL_ENROLLED_STUDENTS,ELEM,MIDD,HIGH,2.1.4.1.1,2.1.4.1.2,2.1.4.1.3,2.2.5.1,2.2.5.1.1,2.2.5.1.1.1,2.2.5.1.3,3.1.3.1.0,3.1.3.1.1,3.1.3.1.2,3.1.3.1.3,3.1.3.1.4,3.2.1.1,5.1.4.1,11.1.1,11.1.2
Coachella Valley Division,WSA04,California,0609850,CORONA-NORCO UNIFIED,1,53467,23424,12476,17567,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0609850,CORONA-NORCO UNIFIED,2,53467,23424,12476,17567,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0610290,CUPERTINO UNION,3,18650,12598,6052,0,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0610890,DELANO UNION ELEMENTARY,5,7712,5387,2320,5,,,,,,,,,,,,,1,,,
Coachella Valley Division,WSA04,California,0611110,DESERT SANDS UNIFIED,5,29199,13032,6757,9410,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0611820,EAST SIDE UNION HIGH,2,25638,189,47,25281,,,,,,,,,,,,,1,,,
Sacramento Division,WSA15,California,0612330,ELK GROVE UNIFIED,1,62126,27644,14559,19476,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0613140,EVERGREEN ELEMENTARY,5,13351,8673,4678,0,,,,,,,,,,,,,1,,,
Sacramento Division,WSA15,California,0613890,FOLSOM-CORDOVA UNIFIED,5,19154,9099,4368,5677,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0613920,FONTANA UNIFIED,4,40592,18503,9067,13022,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0614400,FREMONT UNIFIED,3,32829,15446,7279,10091,,,,,,,,,,,,,1,,,
Central Valley Division,WSA03,California,0614550,FRESNO UNIFIED,1,74235,35975,16219,22041,,,,,,,,,,,,,1,,,
Orange County Division,WSA13,California,0614880,GARDEN GROVE UNIFIED,3,47999,21323,11172,15504,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0616050,GREENFIELD UNION,4,8512,6029,2465,18,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0619540,KERN UNION HIGH,1,37505,0,0,37505,,,,,,,,,,,,,1,,,
Central Valley Division,WSA03,California,0619700,KINGS CANYON JOINT UNIFIED,5,9841,4671,2136,3034,,,,,,,,,,,,,1,,,
Central Coast Division,WSA02,California,0622410,LOMPOC UNIFIED,3,9802,4606,2201,2995,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0622500,LONG BEACH UNIFIED,2,83691,37843,18720,27128,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0622710,LOS ANGELES UNIFIED,1,659639,311822,143197,204617,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0625470,MONTEBELLO UNIFIED,3,31319,13385,7312,10622,,,,,,,,,,,,,1,,,
Coachella Valley Division,WSA04,California,0625800,MORENO VALLEY UNIFIED,3,35692,16278,8371,11043,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0625800,MORENO VALLEY UNIFIED,5,35692,16278,8371,11043,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0626370,MT. DIABLO UNIFIED,2,33977,15736,7609,10632,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0628050,OAKLAND UNIFIED,1,46377,23988,10241,12148,,,,,,,,,,,,,1,,,
Central Coast Division,WSA02,California,0628710,ORCUTT UNION ELEMENTARY,5,5004,2900,1615,489,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0631320,POMONA UNIFIED,4,27737,12887,6186,7582,,,,,,,,,,,,,1,,,
San Diego Division,WSA16,California,0631530,POWAY UNIFIED,3,34569,15717,7960,10826,,,,,,,,,,,,,1,,,
San Francisco Division,WSA17,California,0632130,REDWOOD CITY ELEMENTARY,4,9273,6426,2847,0,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0632550,WEST CONTRA COSTA UNIFIED,5,29883,14998,6353,8532,,,,,,,,,,,,,1,,,
Coachella Valley Division,WSA04,California,0633150,RIVERSIDE UNIFIED,2,42406,18296,9696,14360,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0633150,RIVERSIDE UNIFIED,3,42406,18296,9696,14360,,,,,,,,,,,,,1,,,
Sacramento Division,WSA15,California,0633840,SACRAMENTO CITY UNIFIED,2,47940,23565,10640,13627,,,,,,,,,,,,,1,,,
Orange County Division,WSA13,California,0633860,SADDLEBACK VALLEY UNIFIED,5,30885,12958,7179,10748,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0634170,SAN BERNARDINO CITY UNIFIED,1,54379,26023,12211,16145,,,,,,,,,,,,,1,,,
San Diego Division,WSA16,California,0634320,SAN DIEGO UNIFIED,1,131044,62244,28918,39882,,,,,,,,,,,,,1,,,
San Francisco Division,WSA17,California,0634410,SAN FRANCISCO UNIFIED,1,56310,26721,11306,18283,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0634590,SAN JOSE UNIFIED,1,33308,15681,7290,10337,,,,,,,,,,,,,1,,,
Sacramento Division,WSA15,California,0634620,SAN JUAN UNIFIED,3,47245,20351,10001,16892,,,,,,,,,,,,,1,,,
San Francisco Division,WSA17,California,0634920,SAN MATEO-FOSTER CITY,2,11204,7938,3266,0,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0635130,SAN RAMON VALLEY UNIFIED,4,29884,13780,6925,9141,,,,,,,,,,,,,1,,,
Central Valley Division,WSA03,California,0635250,SANGER UNIFIED,4,10872,5199,2518,3155,,,,,,,,,,,,,1,,,
Orange County Division,WSA13,California,0635310,SANTA ANA UNIFIED,1,57250,27712,12557,16981,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0635430,SANTA CLARA UNIFIED,4,15289,7878,3131,4243,,,,,,,,,,,,,1,,,
Central Coast Division,WSA02,California,0635670,SANTA MARIA JOINT UNION HIGH,4,7633,0,2,7631,,,,,,,,,,,,,1,,,
San Francisco Division,WSA17,California,0636390,SEQUOIA UNION HIGH,5,8947,0,2,8945,,,,,,,,,,,,,0,,,
San Francisco Division,WSA17,California,0637530,SOUTH SAN FRANCISCO UNIFIED,3,9348,4160,2054,3134,,,,,,,,,,,,,1,,,
San Diego Division,WSA16,California,0638640,SWEETWATER UNION HIGH,2,40619,0,11493,29126,,,,,,,,,,,,,1,,,
San Diego Division,WSA16,California,0641190,VISTA UNIFIED,5,25738,10535,5605,9516,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0642510,WILLIAM S. HART UNION HIGH,5,26449,387,7464,18598,,,,,,,,,,,,,1,,,
Colorado Springs,SWA03,Colorado,0801920,"ACADEMY, SCHOOL DISTRICT NO. 20, IN THE COUNTY OF EL PASO AN",2,23657,10257,5509,7891,,,,,,,,,,,,,1,,,
Denver,SWA06,Colorado,0802910,"CHERRY CREEK, SCHOOL DISTRICT NO. 5, IN THE COUNTY OF ARAPAH",4,52655,25466,11845,15344,,,,,,,,,,,,,1,,,
Colorado Springs,SWA03,Colorado,0803060,"COLORADO SPRINGS, SCHOOL DISTRICT NO. 11, IN THE COUNTY OF E",1,29543,14785,6082,8676,,,,,,,,,,,,,1,,,
Denver,SWA06,Colorado,0803360,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,2,80890,45124,16341,19425,,,,,,,,,,,,,1,,,
Denver,SWA06,Colorado,0803450,"DOUGLAS COUNTY SCHOOL DISTRICT, NO. RE 1",3,63114,31475,14545,17094,,,,,,,,,,,,,1,,,
Colorado Springs,SWA03,Colorado,0803870,"FALCON, SCHOOL DISTRICT NO. 49, IN THE COUNTY OF EL PASO AND",3,15063,7705,3459,3899,,,,,,,,,,,,,1,,,
Colorado Springs,SWA03,Colorado,0804530,"HARRISON, SCHOOL DISTRICT NO. 2, IN THE COUNTY OF EL PASO AN",4,11108,6444,2480,2184,,,,,,,,,,,,,1,,,
Denver,SWA06,Colorado,0804800,JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1,1,85793,40240,18855,26698,,,,,,,,,,,,,1,,,
Colorado Springs,SWA03,Colorado,0806480,SCHOOL DISTRICT NO. 3 IN THE COUNTY OF EL PASO AND STATE OF,5,9184,4625,1949,2610,,,,,,,,,,,,,1,,,
Denver,SWA06,Colorado,0806900,ADAMS 12 FIVE STAR SCHOOLS,5,42990,20924,10053,12013,,,,,,,,,,,,,1,,,
