AHA_NAME,AHA_ID,ST_NAME,DIST_ID,DIST_NAME,RANK,TOTAL_ENROLLED_STUDENTS,ELEM,MIDD,HIGH,2.1.4.1.1,2.1.4.1.2,2.1.4.1.3,2.2.5.1,2.2.5.1.1,2.2.5.1.1.1,2.2.5.1.3,3.1.3.1.0,3.1.3.1.1,3.1.3.1.2,3.1.3.1.3,3.1.3.1.4,3.2.1.1,5.1.4.1,11.1.1,11.1.2
Baton Rouge,GSA02,Louisiana,2200750,IBERVILLE PARISH,5,4569,2414,1075,1080,,,,,,,,,,,,,0,,,
Greater New Orleans Area,GSA04,Louisiana,2200840,JEFFERSON PARISH,1,45688,24371,9613,11704,,,,,,,,,,,,,1,,,
Baton Rouge,GSA02,Louisiana,2201020,LIVINGSTON PARISH,2,24773,12476,5857,6440,,,,,,,,,,,,,1,,,
Greater New Orleans Area,GSA04,Louisiana,2201170,ORLEANS PARISH,3,10881,4061,1917,4903,,,,,,,,,,,,,1,,,
Greater New Orleans Area,GSA04,Louisiana,2201440,ST. CHARLES PARISH,4,9743,4621,2202,2920,,,,,,,,,,,,,1,,,
Greater New Orleans Area,GSA04,Louisiana,2201530,ST. JOHN THE BAPTIST PARISH,5,6423,3358,1516,1549,,,,,,,,,,,,,1,,,
Greater New Orleans Area,GSA04,Louisiana,2201650,ST. TAMMANY PARISH,2,37058,17825,8718,10515,,,,,,,,,,,,,1,,,
Maine,FDA08,Maine,2309930,PORTLAND PUBLIC SCHOOLS,1,6896,3279,1510,2107,,,,,,,,,,,,,1,,,
Maine,FDA08,Maine,2311790,RSU 06/MSAD 06,3,3914,1788,934,1192,,,,,,,,,,,,,1,,,
Maine,FDA08,Maine,2314670,RSU 57/MSAD 57,5,3310,1448,806,1056,,,,,,,,,,,,,1,,,
Maine,FDA08,Maine,2314784,RSU 23,2,4053,1680,974,1399,,,,,,,,,,,,,1,,,
Maine,FDA08,Maine,2314793,RSU 14,4,3380,1477,802,1101,,,,,,,,,,,,,1,,,
Greater Baltimore,MAA02,Maryland,2400060,ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,3,76303,36759,16848,22696,,,,,,,,,,,,,1,,,
Greater Baltimore,MAA02,Maryland,2400090,BALTIMORE CITY PUBLIC SCHOOLS,2,84212,43520,16986,23706,,,,,,,,,,,,,1,,,
Greater Baltimore,MAA02,Maryland,2400120,BALTIMORE COUNTY PUBLIC SCHOOLS,1,105153,51388,22772,30993,,,,,,,,,,,,,1,,,
Greater Baltimore,MAA02,Maryland,2400390,HARFORD COUNTY PUBLIC SCHOOLS,5,38224,17545,8643,12036,,,,,,,,,,,,,1,,,
Greater Baltimore,MAA02,Maryland,2400420,HOWARD COUNTY PUBLIC SCHOOLS,4,51555,23347,11541,16667,,,,,,,,,,,,,1,,,
Greater Washington Region,MAA03,Maryland,2400480,MONTGOMERY COUNTY PUBLIC SCHOOLS,2,146459,69951,31276,45232,,,,,,,,,,,,,1,,,
Greater Washington Region,MAA03,Maryland,2400510,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,3,123833,60443,26118,37272,,,,,,,,,,,,,1,,,
Greater Boston,FDA05,Massachusetts,2502790,BOSTON,1,55027,27224,11153,16481,,,,,,,,,,,,,0,,,
Greater Boston,FDA05,Massachusetts,2503090,BROCKTON,2,16162,7983,3726,4428,,,,,,,,,,,,,1,,,
Rhode Island,FDA13,Massachusetts,2504830,FALL RIVER,5,9834,5110,2293,2431,,,,,,,,,,,,,1,,,
Greater Boston,FDA05,Massachusetts,2506660,LAWRENCE,5,12900,6553,3028,3288,,,,,,,,,,,,,1,,,
Greater Boston,FDA05,Massachusetts,2507020,LOWELL,4,13548,7065,3303,3164,,,,,,,,,,,,,1,,,
Greater Boston,FDA05,Massachusetts,2507110,LYNN,3,13731,6920,2891,3907,,,,,,,,,,,,,1,,,
Rhode Island,FDA13,Massachusetts,2508430,NEW BEDFORD,2,12551,7230,2772,2549,,,,,,,,,,,,,1,,,
Detroit,MWA03,Michigan,2609570,CHIPPEWA VALLEY SCHOOLS,5,16178,7033,3955,5190,,,,,,,,,,,,,1,,,
Detroit,MWA03,Michigan,2611600,DEARBORN CITY SCHOOL DISTRICT,3,18736,8577,4226,5926,,,,,,,,,,,,,1,,,
Detroit,MWA03,Michigan,2612000,DETROIT CITY SCHOOL DISTRICT,1,67064,31728,14013,21117,,,,,,,,,,,,,1,,,
Grand Rapid,MWA12,Michigan,2614610,FOREST HILLS PUBLIC SCHOOLS,2,10112,4459,2420,3230,,,,,,,,,,,,,1,,,
Grand Rapid,MWA12,Michigan,2616440,GRAND RAPIDS PUBLIC SCHOOLS,1,17606,9690,3633,4283,,,,,,,,,,,,,1,,,
Grand Rapid,MWA12,Michigan,2616470,GRANDVILLE PUBLIC SCHOOLS,5,5690,2495,1299,1882,,,,,,,,,,,,,1,,,
Grand Rapid,MWA12,Michigan,2620340,KENTWOOD PUBLIC SCHOOLS,3,8761,3845,1859,3047,,,,,,,,,,,,,0,,,
Detroit,MWA03,Michigan,2628560,PLYMOUTH-CANTON COMMUNITY SCHOOLS,4,18426,7642,4379,6397,,,,,,,,,,,,,1,,,
Grand Rapid,MWA12,Michigan,2630030,ROCKFORD PUBLIC SCHOOLS,4,7880,3468,1821,2584,,,,,,,,,,,,,1,,,
Detroit,MWA03,Michigan,2634470,UTICA COMMUNITY SCHOOLS,2,28606,12170,6751,9653,,,,,,,,,,,,,1,,,
Twin Cities,MWA09,Minnesota,2703180,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,1,38748,16943,8669,13136,,,,,,,,,,,,,1,,,
Twin Cities,MWA09,Minnesota,2721240,MINNEAPOLIS PUBLIC SCHOOL DIST.,3,35046,18535,6932,9579,,,,,,,,,,,,,1,,,
Twin Cities,MWA09,Minnesota,2725200,OSSEO PUBLIC SCHOOL DISTRICT,5,20917,9972,4491,6454,,,,,,,,,,,,,1,,,
Twin Cities,MWA09,Minnesota,2732390,ROSEMOUNT-APPLE VALLEY-EAGAN,4,27515,12220,6131,9164,,,,,,,,,,,,,1,,,
Twin Cities,MWA09,Minnesota,2733840,ST. PAUL PUBLIC SCHOOL DISTRICT,2,38310,19005,7893,11412,,,,,,,,,,,,,1,,,
Memphis,GSA06,Mississippi,2801320,DESOTO CO SCHOOL DIST,3,32311,14740,7660,9129,,,,,,,,,,,,,1,,,
Jackson,GSA14,Mississippi,2801860,HINDS CO SCHOOL DIST,5,6319,2874,1511,1863,,,,,,,,,,,,,1,,,
Jackson,GSA14,Mississippi,2802190,JACKSON PUBLIC SCHOOL DIST,1,29898,14892,6504,8087,,,,,,,,,,,,,1,,,
Jackson,GSA14,Mississippi,2802430,LAUDERDALE CO SCHOOL DIST,4,6703,3092,1570,1841,,,,,,,,,,,,,1,,,
Palm Beach,GSA10,Mississippi,2802760,LUMBERTON PUBLIC SCHOOL DISTRICT,5,674,338,141,195,,,,,,,,,,,,,1,,,
Jackson,GSA14,Mississippi,2802790,MADISON CO SCHOOL DIST,3,12182,5538,2897,3544,,,,,,,,,,,,,1,,,
Palm Beach,GSA10,Mississippi,2803540,PEARL RIVER CO SCHOOL DIST,3,3080,1403,720,902,,,,,,,,,,,,,1,,,
Palm Beach,GSA10,Mississippi,2803630,PICAYUNE SCHOOL DIST,2,3670,1828,828,936,,,,,,,,,,,,,1,,,
Palm Beach,GSA10,Mississippi,2803720,POPLARVILLE SEPARATE SCHOOL DIST,4,2025,869,497,626,,,,,,,,,,,,,1,,,
Jackson,GSA14,Mississippi,2803830,RANKIN CO SCHOOL DIST,2,19376,9284,4582,5234,,,,,,,,,,,,,1,,,
St Louis,MWA08,Missouri,2908370,FT. ZUMWALT R-II,4,18977,8417,4412,6148,,,,,,,,,,,,,1,,,
St Louis,MWA08,Missouri,2913830,HAZELWOOD,5,17772,7675,4354,5743,,,,,,,,,,,,,1,,,
Kansas City,MWA05,Missouri,2922800,NORTH KANSAS CITY 74,5,19133,9337,4209,5587,,,,,,,,,,,,,1,,,
St Louis,MWA08,Missouri,2926850,ROCKWOOD R-VI,2,22503,9577,5426,7500,,,,,,,,,,,,,1,,,
St Louis,MWA08,Missouri,2928950,FRANCIS HOWELL R-III,3,19626,10169,3877,5580,,,,,,,,,,,,,1,,,
St Louis,MWA08,Missouri,2929280,ST. LOUIS CITY,1,24665,12948,4613,7104,,,,,,,,,,,,,1,,,
Omaha,MWA07,Nebraska,3103810,BELLEVUE PUBLIC SCHOOLS,4,9988,4675,2172,3141,,,,,,,,,,,,,1,,,
Omaha,MWA07,Nebraska,3173740,MILLARD PUBLIC SCHOOLS,2,23074,11090,5082,6902,,,,,,,,,,,,,1,,,
Omaha,MWA07,Nebraska,3174820,OMAHA PUBLIC SCHOOLS,1,50340,26715,10266,13359,,,,,,,,,,,,,1,,,
Omaha,MWA07,Nebraska,3175270,PAPILLION-LA VISTA PUBLIC SCHS,3,10338,4998,2201,3139,,,,,,,,,,,,,1,,,
Las Vegas Division,WSA09,Nevada,3200060,CLARK COUNTY SCHOOL DISTRICT,1,313398,149006,72721,91192,,,,,,,,,,,,,1,,,
Northern Nevada,WSA11,Nevada,3200450,STOREY COUNTY SCHOOL DISTRICT,2,409,182,93,133,,,,,,,,,,,,,0,,,
Northern Nevada,WSA11,Nevada,3200480,WASHOE COUNTY SCHOOL DISTRICT,1,64740,30440,14742,19485,,,,,,,,,,,,,1,,,
New Hampshire,FDA09,New Hampshire,3302610,DERRY SCHOOL DISTRICT,1,5718,2263,1316,2139,,,,,,,,,,,,,1,,,
New Hampshire,FDA09,New Hampshire,3304410,LONDONDERRY SCHOOL DISTRICT,2,4802,1919,1177,1706,,,,,,,,,,,,,1,,,
New Hampshire,FDA09,New Hampshire,3305940,ROCHESTER SCHOOL DISTRICT,4,4203,1949,940,1314,,,,,,,,,,,,,1,,,
New Hampshire,FDA09,New Hampshire,3306060,SALEM SCHOOL DISTRICT,3,4315,1762,1054,1499,,,,,,,,,,,,,1,,,
New Hampshire,FDA09,New Hampshire,3306720,TIMBERLANE REGIONAL SCHOOL DISTRICT,5,4158,1721,1017,1420,,,,,,,,,,,,,1,,,
Southern NJ,FDA18,New Jersey,3402640,CAMDEN CITY,1,13723,8282,2046,1882,,,,,,,,,,,,,1,,,
Southern NJ,FDA18,New Jersey,3403000,CHERRY HILL TOWNSHIP,3,11248,4996,2661,3591,,,,,,,,,,,,,1,,,
Central NJ,FDA19,New Jersey,3404500,EDISON TOWNSHIP,3,14224,6622,3192,4154,,,,,,,,,,,,,1,,,
Central NJ,FDA19,New Jersey,3404590,ELIZABETH,1,23386,13143,4573,4716,,,,,,,,,,,,,1,,,
Northern New Jersey,FDA11,New Jersey,3404590,ELIZABETH,4,23386,13143,4573,4716,,,,,,,,,,,,,1,,,
Southern NJ,FDA18,New Jersey,3406540,HAMILTON TOWNSHIP,2,12441,5124,2730,3966,,,,,,,,,,,,,1,,,
Northern New Jersey,FDA11,New Jersey,3407830,JERSEY CITY,2,27397,14408,5387,6493,,,,,,,,,,,,,1,,,
Northern New Jersey,FDA11,New Jersey,3411340,NEWARK,1,35543,16689,6912,9099,,,,,,,,,,,,,1,,,
Northern New Jersey,FDA11,New Jersey,3412540,PASSAIC CITY,5,13136,7651,2488,2427,,,,,,,,,,,,,1,,,
Northern New Jersey,FDA11,New Jersey,3412690,PATERSON,3,24365,12145,5539,5581,,,,,,,,,,,,,1,,,
Central NJ,FDA19,New Jersey,3412930,PERTH AMBOY,5,10258,5748,2052,2215,,,,,,,,,,,,,1,,,
Central NJ,FDA19,New Jersey,3416230,TOMS RIVER REGIONAL,2,16981,6903,3720,5463,,,,,,,,,,,,,0,,,
Southern NJ,FDA18,New Jersey,3416800,VINELAND CITY,5,9734,4644,1927,2592,,,,,,,,,,,,,1,,,
Southern NJ,FDA18,New Jersey,3417700,WEST WINDSOR-PLAINSBORO R,4,9804,4066,2244,3237,,,,,,,,,,,,,1,,,
Central NJ,FDA19,New Jersey,3418120,WOODBRIDGE TOWNSHIP,4,13109,5534,2864,4073,,,,,,,,,,,,,1,,,
Albuquerque,SWA01,New Mexico,3500010,RIO RANCHO PUBLIC SCHOOLS,2,16870,7920,4030,4920,,,,,,,,,,,,,1,,,
Albuquerque,SWA01,New Mexico,3500060,ALBUQUERQUE PUBLIC SCHOOLS,1,94318,46786,20456,27076,,,,,,,,,,,,,1,,,
Albuquerque,SWA01,New Mexico,3500180,BELEN CONSOLIDATED SCHOOLS,4,4553,2213,1009,1331,,,,,,,,,,,,,1,,,
Albuquerque,SWA01,New Mexico,3501680,LOS LUNAS PUBLIC SCHOOLS,3,8473,4068,2013,2392,,,,,,,,,,,,,1,,,
Albuquerque,SWA01,New Mexico,3501890,MORIARTY MUNICIPAL SCHOOLS,5,3237,1471,810,956,,,,,,,,,,,,,1,,,
Albany,FDA01,New York,3602460,ALBANY CITY SCHOOL DISTRICT,3,8441,4497,1618,2192,,,,,,,,,,,,,1,,,
Dutchess-Ulster Counties,FDA04,New York,3603270,ARLINGTON CENTRAL SCHOOL DISTRICT,2,9471,3736,2388,3307,,,,,,,,,,,,,1,,,
Syracuse,FDA15,New York,3603870,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,4,5692,2369,1434,1855,,,,,,,,,,,,,1,,,
Dutchess-Ulster Counties,FDA04,New York,3604140,BEACON CITY SCHOOL DISTRICT,5,3360,1629,687,1038,,,,,,,,,,,,,1,,,
Long Island,FDA07,New York,3605280,BRENTWOOD UNION FREE SCHOOL DISTRICT,1,17143,8368,3685,4966,,,,,,,,,,,,,1,,,
Buffalo Niagara Region,FDA02,New York,3605850,BUFFALO CITY SCHOOL DISTRICT,1,32723,16273,7145,8990,,,,,,,,,,,,,1,,,
Utica,FDA16,New York,3606900,CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,3,4380,1958,958,1435,,,,,,,,,,,,,1,,,
Rochester,FDA14,New York,3610890,FAIRPORT CENTRAL SCHOOL DISTRICT,4,6413,2662,1563,2161,,,,,,,,,,,,,1,,,
Rochester,FDA14,New York,3612630,GREECE CENTRAL SCHOOL DISTRICT,2,11871,5304,2688,3765,,,,,,,,,,,,,1,,,
Long Island,FDA07,New York,3613290,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,5,9868,3986,2524,3235,,,,,,,,,,,,,1,,,
Orange-Sullivan-Rockland Counties (Tri County Board),FDA12,New York,3614010,HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),3,7896,3408,1871,2554,,,,,,,,,,,,,1,,,
Dutchess-Ulster Counties,FDA04,New York,3615180,HYDE PARK CENTRAL SCHOOL DISTRICT,4,3921,1600,888,1416,,,,,,,,,,,,,1,,,
Buffalo Niagara Region,FDA02,New York,3616230,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,3,7831,3611,1743,2418,,,,,,,,,,,,,1,,,
Syracuse,FDA15,New York,3617520,LIVERPOOL CENTRAL SCHOOL DISTRICT,3,7362,3282,1700,2314,,,,,,,,,,,,,1,,,
Long Island,FDA07,New York,3619200,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,4,10163,4446,2333,3301,,,,,,,,,,,,,1,,,
Orange-Sullivan-Rockland Counties (Tri County Board),FDA12,New York,3619650,MONROE-WOODBURY CENTRAL SCHOOL DISTRICT,5,7156,3078,1723,2315,,,,,,,,,,,,,0,,,
Orange-Sullivan-Rockland Counties (Tri County Board),FDA12,New York,3620340,CLARKSTOWN CENTRAL SCHOOL DISTRICT,2,8803,3606,2095,3037,,,,,,,,,,,,,1,,,
Utica,FDA16,New York,3620370,NEW HARTFORD CENTRAL SCHOOL DISTRICT,5,2607,1120,635,840,,,,,,,,,,,,,1,,,
New York,FDA10,New York,3620580,NEW YORK CITY PUBLIC SCHOOLS,1,1015248,493765,209812,311671,,,,,,,,,,,,,1,,,
Orange-Sullivan-Rockland Counties (Tri County Board),FDA12,New York,3620700,NEWBURGH CITY SCHOOL DISTRICT,1,11544,5627,2522,3361,,,,,,,,,,,,,1,,,
Buffalo Niagara Region,FDA02,New York,3620820,NIAGARA FALLS CITY SCHOOL DISTRICT,5,6830,3401,1480,1892,,,,,,,,,,,,,1,,,
Syracuse,FDA15,New York,3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,2,9388,4175,2212,2937,,,,,,,,,,,,,1,,,
Rochester,FDA14,New York,3623160,PITTSFORD CENTRAL SCHOOL DISTRICT,5,5929,2481,1434,1995,,,,,,,,,,,,,1,,,
Dutchess-Ulster Counties,FDA04,New York,3623760,POUGHKEEPSIE CITY SCHOOL DISTRICT,3,4371,2227,967,1170,,,,,,,,,,,,,1,,,
Rochester,FDA14,New York,3624750,ROCHESTER CITY SCHOOL DISTRICT,1,31432,15433,6615,9101,,,,,,,,,,,,,1,,,
Utica,FDA16,New York,3624900,ROME CITY SCHOOL DISTRICT,2,5148,2401,1148,1551,,,,,,,,,,,,,1,,,
Long Island,FDA07,New York,3625350,SACHEM CENTRAL SCHOOL DISTRICT,2,14465,6272,3476,4630,,,,,,,,,,,,,1,,,
Albany,FDA01,New York,3625770,SARATOGA SPRINGS CITY SCHOOL DISTRICT,4,6667,2923,1654,2043,,,,,,,,,,,,,1,,,
Albany,FDA01,New York,3626010,SCHENECTADY CITY SCHOOL DISTRICT,1,9821,4915,2214,2659,,,,,,,,,,,,,1,,,
Albany,FDA01,New York,3626670,SHENENDEHOWA CENTRAL SCHOOL DISTRICT,2,9800,4401,2381,2953,,,,,,,,,,,,,1,,,
Long Island,FDA07,New York,3627060,SMITHTOWN CENTRAL SCHOOL DISTRICT,3,10623,4494,2583,3485,,,,,,,,,,,,,1,,,
Albany,FDA01,New York,3627210,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,5,5232,2280,1184,1748,,,,,,,,,,,,,1,,,
Orange-Sullivan-Rockland Counties (Tri County Board),FDA12,New York,3627810,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),4,7830,3501,1719,2540,,,,,,,,,,,,,1,,,
Syracuse,FDA15,New York,3628590,SYRACUSE CITY SCHOOL DISTRICT,1,20491,10360,4325,5574,,,,,,,,,,,,,1,,,
Utica,FDA16,New York,3629370,UTICA CITY SCHOOL DISTRICT,1,9619,4779,2090,2633,,,,,,,,,,,,,1,,,
Dutchess-Ulster Counties,FDA04,New York,3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,1,11950,4974,2812,4150,,,,,,,,,,,,,1,,,
Rochester,FDA14,New York,3630360,WEBSTER CENTRAL SCHOOL DISTRICT,3,8665,3715,2012,2906,,,,,,,,,,,,,1,,,
Syracuse,FDA15,New York,3630630,WEST GENESEE CENTRAL SCHOOL DISTRICT,5,4874,2001,1181,1668,,,,,,,,,,,,,1,,,
Buffalo Niagara Region,FDA02,New York,3630780,WEST SENECA CENTRAL SCHOOL DISTRICT,4,7068,3038,1605,2272,,,,,,,,,,,,,1,,,
Utica,FDA16,New York,3631320,WHITESBORO CENTRAL SCHOOL DISTRICT,4,3385,1483,758,1140,,,,,,,,,,,,,1,,,
Buffalo Niagara Region,FDA02,New York,3631470,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,2,10315,4524,2408,3325,,,,,,,,,,,,,1,,,
Charlotte,MAA01,North Carolina,3700530,CABARRUS COUNTY SCHOOLS,4,29747,14211,6961,8575,,,,,,,,,,,,,1,,,
Triangle Metro Division,MAA06,North Carolina,3701260,DURHAM PUBLIC SCHOOLS,2,33256,16429,7005,9822,,,,,,,,,,,,,1,,,
Triangle Metro Division,MAA06,North Carolina,3701530,FRANKLIN COUNTY SCHOOLS,5,8662,4155,1950,2557,,,,,,,,,,,,,1,,,
Charlotte,MAA01,North Carolina,3701620,GASTON COUNTY SCHOOLS,3,31696,14862,7401,9433,,,,,,,,,,,,,1,,,
Triangle Metro Division,MAA06,North Carolina,3702370,JOHNSTON COUNTY SCHOOLS,3,33097,16146,7811,9140,,,,,,,,,,,,,1,,,
Triangle Metro Division,MAA06,North Carolina,3702560,LEE COUNTY SCHOOLS,4,9931,4865,2272,2794,,,,,,,,,,,,,1,,,
Charlotte,MAA01,North Carolina,3702970,CHARLOTTE-MECKLENBURG SCHOOLS,1,141728,72018,31009,38701,,,,,,,,,,,,,1,,,
Charlotte,MAA01,North Carolina,3704620,UNION COUNTY PUBLIC SCHOOLS,2,40111,18976,9498,11637,,,,,,,,,,,,,1,,,
Triangle Metro Division,MAA06,North Carolina,3704720,WAKE COUNTY SCHOOLS,1,148154,72129,33715,42310,,,,,,,,,,,,,1,,,
Akron,GRA02,Ohio,3904348,AKRON CITY,1,22678,11003,4842,6833,,,,,,,,,,,,,1,,,
Canton,GRA05,Ohio,3904371,CANTON CITY,1,9911,4875,2177,2859,,,,,,,,,,,,,1,,,
Dayton,GRA11,Ohio,3904373,CENTERVILLE CITY,2,8452,3651,1942,2859,,,,,,,,,,,,,1,,,
Cincinnati,GRA08,Ohio,3904375,CINCINNATI CITY,1,32154,16394,6696,9064,,,,,,,,,,,,,1,,,
Cleveland,GRA09,Ohio,3904378,CLEVELAND MUNICIPAL,1,42805,20308,9290,13207,,,,,,,,,,,,,1,,,
Columbus,GRA10,Ohio,3904380,COLUMBUS CITY SCHOOL DISTRICT,1,50488,26360,10413,13715,,,,,,,,,,,,,1,,,
Akron,GRA02,Ohio,3904383,CUYAHOGA FALLS CITY,4,4886,2179,1118,1589,,,,,,,,,,,,,1,,,
Dayton,GRA11,Ohio,3904384,DAYTON CITY,1,14795,7537,3233,4025,,,,,,,,,,,,,1,,,
Middletown,GRA19,Ohio,3904410,HAMILTON CITY,4,9745,5035,2145,2565,,,,,,,,,,,,,1,,,
Dayton,GRA11,Ohio,3904418,KETTERING CITY,4,7768,3759,1711,2298,,,,,,,,,,,,,1,,,
Cleveland,GRA09,Ohio,3904426,LORAIN CITY,5,7505,3473,1631,2401,,,,,,,,,,,,,1,,,
Canton,GRA05,Ohio,3904450,NORTH CANTON CITY,5,4725,1917,1050,1758,,,,,,,,,,,,,1,,,
Cleveland,GRA09,Ohio,3904463,PARMA CITY,2,11569,4743,2617,4209,,,,,,,,,,,,,1,,,
Columbus,GRA10,Ohio,3904480,SOUTH-WESTERN CITY,2,20895,9676,4851,6368,,,,,,,,,,,,,1,,,
Dayton,GRA11,Ohio,3904481,SPRINGFIELD CITY,5,7435,3867,1678,1890,,,,,,,,,,,,,1,,,
Akron,GRA02,Ohio,3904483,STOW-MUNROE FALLS CITY SCHOOL DISTRICT,3,5410,2323,1282,1805,,,,,,,,,,,,,1,,,
Toledo,GRA28,Ohio,3904487,SYLVANIA CITY,2,7596,3318,1738,2540,,,,,,,,,,,,,1,,,
Toledo,GRA28,Ohio,3904490,TOLEDO CITY,1,23115,12060,4778,6277,,,,,,,,,,,,,1,,,
Youngstown,GRA27,Ohio,3904499,WARREN CITY,2,5390,2659,1252,1479,,,,,,,,,,,,,1,,,
Columbus,GRA10,Ohio,3904504,WESTERVILLE CITY,5,14940,6848,3476,4616,,,,,,,,,,,,,1,,,
Cleveland,GRA09,Ohio,3904510,WILLOUGHBY-EASTLAKE CITY,3,8524,3701,1906,2917,,,,,,,,,,,,,1,,,
Youngstown,GRA27,Ohio,3904516,YOUNGSTOWN CITY SCHOOLS,1,5849,2870,1244,1735,,,,,,,,,,,,,1,,,
Cleveland,GRA09,Ohio,3904549,MENTOR EXEMPTED VILLAGE,4,8174,3525,1936,2713,,,,,,,,,,,,,1,,,
Toledo,GRA28,Ohio,3904558,PERRYSBURG EXEMPTED VILLAGE,5,4571,2203,1108,1260,,,,,,,,,,,,,1,,,
Middletown,GRA19,Ohio,3904610,FAIRFIELD CITY,3,9796,4631,2353,2812,,,,,,,,,,,,,1,,,
Middletown,GRA19,Ohio,3904611,LAKOTA LOCAL,1,17364,8178,4189,4997,,,,,,,,,,,,,1,,,
Columbus,GRA10,Ohio,3904676,OLENTANGY LOCAL,3,16690,8614,3897,4179,,,,,,,,,,,,,1,,,
Columbus,GRA10,Ohio,3904701,HILLIARD CITY,4,15464,7374,3520,4570,,,,,,,,,,,,,1,,,
Dayton,GRA11,Ohio,3904724,BEAVERCREEK CITY,3,7915,3583,1887,2445,,,,,,,,,,,,,1,,,
Cincinnati,GRA08,Ohio,3904736,NORTHWEST LOCAL,5,9212,4175,2164,2873,,,,,,,,,,,,,1,,,
Middletown,GRA19,Ohio,3904736,NORTHWEST LOCAL,5,9212,4175,2164,2873,,,,,,,,,,,,,1,,,
Toledo,GRA28,Ohio,3904823,WASHINGTON LOCAL,3,6736,3098,1558,2080,,,,,,,,,,,,,1,,,
Youngstown,GRA27,Ohio,3904829,AUSTINTOWN LOCAL,3,5250,2346,1310,1594,,,,,,,,,,,,,1,,,
Youngstown,GRA27,Ohio,3904830,BOARDMAN LOCAL,4,4559,2030,1020,1509,,,,,,,,,,,,,1,,,
Akron,GRA02,Ohio,3904985,JACKSON LOCAL,2,5824,2458,1451,1915,,,,,,,,,,,,,1,,,
Canton,GRA05,Ohio,3904985,JACKSON LOCAL,3,5824,2458,1451,1915,,,,,,,,,,,,,1,,,
Canton,GRA05,Ohio,3904992,PERRY LOCAL,4,4898,2170,1100,1628,,,,,,,,,,,,,1,,,
Canton,GRA05,Ohio,3904993,PLAIN LOCAL,2,6017,2657,1351,2009,,,,,,,,,,,,,1,,,
Akron,GRA02,Ohio,3905002,HUDSON CITY,5,4685,1904,1151,1630,,,,,,,,,,,,,1,,,
Cincinnati,GRA08,Ohio,3905045,MASON CITY SCHOOL DISTRICT,4,10931,4928,2754,3249,,,,,,,,,,,,,1,,,
Middletown,GRA19,Ohio,3905045,MASON CITY SCHOOL DISTRICT,2,10931,4928,2754,3249,,,,,,,,,,,,,1,,,
Toledo,GRA28,Ohio,3910000,FINDLAY CITY,4,5875,2600,1257,2018,,,,,,,,,,,,,1,,,
Tulsa,SWA13,Oklahoma,4005490,BROKEN ARROW,2,16985,8529,3769,4668,,,,,,,,,,,,,1,,,
Oklahoma City,SWA10,Oklahoma,4010590,EDMOND,3,21985,10628,4786,6569,,,,,,,,,,,,,1,,,
Tulsa,SWA13,Oklahoma,4015720,JENKS,4,10686,5171,2410,3105,,,,,,,,,,,,,1,,,
Oklahoma City,SWA10,Oklahoma,4020250,MOORE,2,22672,11294,5154,6221,,,,,,,,,,,,,1,,,
Oklahoma City,SWA10,Oklahoma,4021720,NORMAN,5,15022,7643,3174,3980,,,,,,,,,,,,,1,,,
Oklahoma City,SWA10,Oklahoma,4022770,OKLAHOMA CITY,1,43212,24934,8632,9397,,,,,,,,,,,,,1,,,
Tulsa,SWA13,Oklahoma,4023280,OWASSO,5,9336,4446,2204,2671,,,,,,,,,,,,,1,,,
Oklahoma City,SWA10,Oklahoma,4025290,PUTNAM CITY,4,19213,9834,4031,5348,,,,,,,,,,,,,1,,,
Tulsa,SWA13,Oklahoma,4030240,TULSA,1,41199,23756,8045,9112,,,,,,,,,,,,,1,,,
Tulsa,SWA13,Oklahoma,4030600,UNION,3,14990,7358,3290,4342,,,,,,,,,,,,,1,,,
Portland,WSA12,Oregon,4100023,HILLSBORO SD 1J,5,21286,10033,4749,6504,,,,,,,,,,,,,1,,,
Portland,WSA12,Oregon,4101920,BEAVERTON SD 48J,2,39736,18889,8984,11863,,,,,,,,,,,,,1,,,
Portland,WSA12,Oregon,4110040,PORTLAND SD 1J,1,46930,23963,9923,13044,,,,,,,,,,,,,1,,,
Fayette,GRA29,Pennsylvania,4202100,ALBERT GALLATIN AREA SD,2,3575,1617,868,1090,,,,,,,,,,,,,1,,,
Lehigh Valley,GRA16,Pennsylvania,4202280,ALLENTOWN CITY SD,2,17560,8788,3884,4888,,,,,,,,,,,,,1,,,
Beaver Butler Counties Board,GRA04,Pennsylvania,4202590,ARMSTRONG SD,3,5450,2498,1361,1591,,,,,,,,,,,,,1,,,
